farm_id,max,mean,A,wake_pool,WCI,spacing_D,aspect_ratio,n_turb_x,pc1_share,axis_deg,ws_mean,ws_std,weibull_A,weibull_k,frac_below_rated,orient_sensitivity,gain_proxy_raw,wd_entropy_norm,exp_wake_loss,lat,lon,country,n_turb_y,n_turb,WCI_x_pool,log_n,WCI_density,ws_x_WCI,pool_density
45,5340313174.726511,5094950124.976145,4.815808668029209,0.08059195882772228,0.3984,2.5,2.04,54,0.81,175.5,10.110272252278575,4.439568151105005,11.35395280251025,2.417398603943169,0.552488618500296,0.315877653123403,0.0497118893643784,0.0681920877218688,0.0749460744208331,25.2524,119.5441,China,106,54,0.03210783639696456,1.7323937598229686,0.15936,4.027932465307784,0.032236783531088914
46,5780082844.182592,5633151844.973668,2.6083266216235135,0.01693584358691241,0.41612499999999997,3.0,2.7,38,0.895,98.1,10.37031094705619,4.292673277436056,11.626077610471667,2.5968694748179635,0.5238935787245915,0.396462916629007,0.0327510993831442,0.1770126172055672,0.0536292580051985,25.8097,119.9959,China,105,38,0.007047427912603926,1.5797835966168101,0.13870833333333332,4.315345642843757,0.00564528119563747
47,3373818347.949067,3265246811.4344196,3.325063702212211,0.0929345906449565,0.41754545454545455,2.4,3.06,62,0.925,9.2,7.3240031512910875,3.1752081104274215,8.244239680803194,2.4523789119449484,0.8829508664570702,0.4054992277530377,0.0410928944003866,0.182515243329098,0.0692929674893277,22.3059,114.9472,China,104,62,0.03880441589384411,1.792391689498254,0.17397727272727273,3.0581042248981785,0.03872274610206521
48,4244256721.433514,4203527038.9433117,0.9689406565692298,0.08976446096909246,0.4177181818181818,2.6,1.57,41,0.845,63.8,9.585734611810105,4.533337694470135,10.816832110797307,2.2337983914510415,0.6417738041769593,0.4088033282602007,0.0388909779052652,0.1463945399056334,0.063187838490476,52.2364,2.5034,United Kingdom,102,41,0.03749624742789845,1.6127838567197355,0.16066083916083915,4.004135633436932,0.03452479268042018
49,3117968071.72652,3047509294.4912443,2.312011889927254,0.2701952312744535,0.4074666666666667,3.1,1.95,56,0.859,72.3,9.098892114623673,4.296183081719831,10.266501878058389,2.2372204634010084,0.6853363808759048,0.4720223100711771,0.052480235736552,0.1407512543072336,0.0927610624197844,51.4309,1.632,France,101,56,0.11009555023663066,1.7481880270062005,0.13144086021505377,3.7074952403053265,0.08715975202401725
50,2808468791.508863,2742082305.9433503,2.4210245411533666,0.11871430370134027,0.4138818181818182,2.9,1.97,40,0.802,5.8,6.761620456654919,3.2785774426229453,7.629044825795265,2.1684158113085727,0.8922362732988997,0.3672061433990699,0.0430579745099256,0.1960185395091165,0.0602231414266914,34.5055,120.3623,China,100,40,0.04913369186009926,1.6020599913279623,0.142717868338558,2.7985117684557137,0.04093596679356561
51,3503157309.8957357,3490626043.4888244,0.35899767694354834,0.13326280268430643,0.3972,2.9,1.95,32,0.793,88.8,9.292338762220826,4.2677561906820625,10.47731892849546,2.3076600465490866,0.6682109205404596,0.4328919780282553,0.0390667640133817,0.174765981393379,0.064078798248731,53.2764,0.8416,United Kingdom,92,32,0.05293198522620651,1.505149978319906,0.13696551724137931,3.690916956354112,0.04595269058079532
52,4338411733.037512,4087217415.327833,6.145851619433133,0.06547692580151016,0.39743636363636364,2.4,1.37,162,0.655,175.3,9.638242872781225,4.0099766083634485,10.810498665673089,2.5837091299452557,0.6109504308373048,0.5435218044189374,0.0423144042299342,0.3199351014805972,0.0584128816927822,25.6651,119.7641,China,90,162,0.026022911292640193,2.2095150145426308,0.16559848484848486,3.830588199202269,0.0272820524172959
53,3755539349.0932,3745105548.503278,0.278598305302564,0.07414388565251037,0.3477888888888889,3.1,1.95,105,0.859,72.3,9.244477793989429,4.288962471373901,10.425835120369225,2.2788194505832307,0.674323411807271,0.4147980291671108,0.0390783760240491,0.1512701804527436,0.0652570916618527,53.4775,0.8387,United Kingdom,90,105,0.025786419608991414,2.0211892990699383,0.1121899641577061,3.2151266603295903,0.023917382468551733
54,3036393292.2056856,3023030362.0335326,0.44203757725952897,0.22094055979731078,0.36136,1.7,1.98,90,0.915,157.8,8.98175295586717,4.405354857658015,10.144562355645625,2.1492365663107393,0.7045428955510642,0.3292307148678698,0.0356376756633767,0.2307951909323375,0.0417352068398272,53.0019,5.2635,Netherlands,89,90,0.07983908068835623,1.954242509439325,0.21256470588235296,3.245646248132161,0.1299650351748887
