farm_id,R1_f,R2_f,R1_e,R2_e,ws_mean,disp_f,n_turb,cent_lon,cent_lat,pc1_angle,axis_bearing,pc1_share,aspect_ratio,nn_mean_m,nn_med_m,spacing_D_mean,spacing_D_med,ce_r,n_comp,layout_type,last_year,country,region,A_para,A_real,corr,is_corr
70,0.11045752249512451,0.2541426458892252,0.14285427932678746,0.3530358376706012,6.9097957535584085,0.8895424775048755,70,121.2344305,36.4325515,82.75,7.25,0.8181,2.121,675.8,659.3,3.413,3.33,1.429,2,multi_cluster,2024,China,east_asia,0.816981,1.3565125967723912,other,False
71,0.3927331647898265,0.8258886751499125,0.6900414890306308,0.9358048724513097,9.105874562124054,0.6072668352101736,69,120.789452,24.70959,44.09,45.91,0.8572,2.45,883.1,946.6,4.46,4.781,1.441,1,belt,2024,Taiwan,east_asia,2.749731,1.4458217001159437,other,False
72,0.5646472398185093,0.11969213219837313,0.5898836401020966,0.21390104363222978,7.800432006366369,0.4353527601814907,68,110.629524,20.581868,76.39,13.61,0.6584,1.388,638.0,616.4,3.222,3.113,1.339,1,cluster,2024,China,east_asia,1.805266,2.3249001067134007,other,False
73,0.2761706027985157,0.130226321762762,0.4755562993529679,0.2379638716973631,9.857356731649574,0.7238293972014843,67,1.378235,53.267633,127.47,142.53,0.745,1.709,870.1,845.9,4.395,4.272,1.965,1,rule_grid,2024,United Kingdom,europe,0.306025,0.46236256298371575,other,False
74,0.22626872797701397,0.4006652852689148,0.19586274381084934,0.5764874974721724,8.158616014412061,0.7737312720229861,62,122.229294,29.580327,9.16,80.84,0.9258,3.532,389.8,389.5,1.969,1.967,1.156,2,multi_cluster,2024,China,east_asia,1.5339257,9.000118069633443,other,False
75,0.19505207853357742,0.12802212623155668,0.40217371714903194,0.23749991443445692,8.504474317865252,0.8049479214664226,62,-2.5464755,48.855705,117.02,152.98,0.8402,2.293,1072.1,1077.3,5.415,5.441,1.881,1,rule_grid,2024,France,europe,0.5538915,0.37222558955371265,other,False
76,0.13603893372646128,0.07571087034504188,0.08733046809789033,0.1583078914181302,7.083650799144527,0.8639610662735387,61,118.572151,38.326921,156.96,113.04,0.8475,2.357,602.5,551.1,3.043,2.783,0.815,4,multi_cluster,2024,China,east_asia,0.5671906,2.595783564940677,other,False
77,0.4836962572463411,0.19879071766534898,0.47031544433124345,0.28422809172239416,7.010907007753628,0.516303742753659,60,109.4251745,20.1449935,163.95,106.05,0.8179,2.119,709.9,701.2,3.585,3.542,1.261,3,multi_cluster,2024,China,east_asia,1.3127457,3.7843758746648075,other,False
78,0.1550520492496368,0.2228100525067804,0.2515302690618853,0.39274571792093127,7.228107088191022,0.8449479507503632,60,123.2021125,39.473219,83.44,6.56,0.7029,1.538,639.0,619.9,3.227,3.131,1.449,1,cluster,2024,China,east_asia,0.9253528,2.3114098240726966,other,False
79,0.07430083225929565,0.24616932711628556,0.04240383038707443,0.40850636331330353,7.285395002989443,0.9256991677407044,60,120.3054195,37.8291655,40.11,49.89,0.8492,2.373,781.1,713.5,3.945,3.604,1.374,2,multi_cluster,2024,China,east_asia,0.99995846,1.874729861156621,other,False
80,0.2767062898575618,0.10765852916002025,0.5139913234190295,0.20646174818288437,9.985856162466108,0.7232937101424382,60,-3.825689,54.1179045,155.92,114.08,0.804,2.025,1027.5,1040.3,5.189,5.254,1.761,1,cluster,2024,United Kingdom,europe,0.3392687,0.11493057959676387,other,False
81,0.4443715845679888,0.8439050926599845,0.6583119435130205,0.9228605767092392,9.676321859854072,0.5556284154320112,59,119.39043,25.404175,155.12,114.88,0.8742,2.636,537.0,521.0,2.712,2.631,1.216,2,multi_cluster,2024,China,east_asia,2.4794433,3.6996401928520273,other,False
82,0.21977321687891838,0.1564467503582727,0.18553423264411206,0.3030742161032423,7.793361053783122,0.7802267831210816,58,121.590019,33.321808000000004,2.12,87.88,0.8984,2.973,664.4,655.9,3.355,3.312,1.591,1,belt,2024,China,east_asia,0.42782903,2.062609584377765,other,False
83,0.3000979058544043,0.21106878780780017,0.5943371538011076,0.35592339090591335,8.692098801812952,0.6999020941455957,58,-3.712881,54.754173,50.8,39.2,0.5757,1.165,442.1,443.2,2.233,2.238,2.12,1,rule_grid,2024,United Kingdom,europe,0.5572863,1.0277882769022773,other,False
84,0.29097017794123803,0.1282356143517774,0.5088998462824602,0.24232611003693752,8.672364219142995,0.709029822058762,57,-3.222162,53.485783,175.74,94.26,0.9032,3.055,812.9,894.6,4.106,4.518,1.822,1,belt,2024,United Kingdom,europe,0.39345872,0.6271293570474715,other,False
85,0.26348210963394486,0.4963708505503933,0.2891237493585655,0.6747980725313741,7.845130527458811,0.7365178903660552,56,121.997856,28.922221,72.15,17.85,0.8577,2.455,719.5,695.7,3.634,3.514,1.442,1,belt,2024,China,east_asia,2.1664279,3.256138582955267,China strait,True
86,0.18797329555720307,0.6077882159770294,0.3865080373146316,0.8074488561074628,6.223765773955138,0.8120267044427969,56,105.3960245,8.9236965,66.9,23.1,0.9773,6.569,334.6,289.9,1.69,1.464,0.725,6,multi_cluster,2024,Vietnam,east_asia,3.5618804,21.363656541511972,Vietnam,True
87,0.2642290396529794,0.24286923027169366,0.5045358970516808,0.39645931452977495,9.708300180400308,0.7357709603470206,56,1.9853655,51.774064,50.99,39.01,0.6958,1.512,874.1,830.5,4.414,4.194,1.699,1,cluster,2024,United Kingdom,europe,0.49055758,0.3701660483059211,other,False
88,0.20015808306447327,0.10642419568027034,0.2310119967346368,0.2305255982734864,6.973754820521519,0.7998419169355268,55,120.053371,34.502541,154.03,115.97,0.9332,3.738,713.2,656.7,3.602,3.316,1.846,1,belt,2024,China,east_asia,0.57394457,2.1449355373827075,other,False
89,0.2671166052391511,0.21042108218516803,0.20910460064993572,0.40419772081095334,7.824265712443042,0.7328833947608488,55,122.126759,30.929973,65.23,24.77,0.8807,2.717,879.1,866.3,4.44,4.375,2.061,1,belt,2024,China,east_asia,0.6244994,0.845063029000385,other,False
90,0.4419532080680946,0.564634585408219,0.662004886266248,0.6920339417507514,7.134272205672283,0.5580467919319054,55,116.108585,22.730692,17.47,72.53,0.9726,5.954,549.5,539.5,2.775,2.725,1.055,9,multi_cluster,2024,China,east_asia,2.9481227,4.805565332692087,other,False
91,0.39570854837158737,0.2390079937184026,0.467333084104544,0.28578296195970493,7.084137542404936,0.6042914516284126,55,113.44434,21.89814,25.31,64.69,0.83,2.21,479.7,479.0,2.423,2.419,1.053,5,multi_cluster,2024,China,east_asia,2.00681,6.801205225165621,China strait,True
