farm_id,year,n_turb,capacity_kW,n_hours,wake_model,turbine_type,country,region,TI,AEP_kWh,AEP_noWake_kWh,CF,WakeLoss,Volatility_kW,CV,P5_kW,P95_kW,RampFreq,low_hours,high_hours,precompute_time_s
63,2018,40,400000.0,7711,gauss,iea_10MW,China,east_asia,0.07,1095972382.8112328,1257090857.4330266,0.35532757839814316,0.12816772444817306,124975.90101023688,0.9989201461824047,0.0,368600.0,0.14476538417627582,0.36095890410958903,0.09189497716894977,12.347541300001467
80,2017,40,400000.0,8245,gauss,iea_10MW,United Kingdom,europe,0.06,1886782060.6654985,2074529433.2887638,0.5720988661811699,0.09050118528597025,138505.18261069732,0.6430554036759053,0.0,368600.0,0.15047379837881036,0.16255707762557078,0.2882420091324201,10.941264600001887
105,2023,40,400000.0,7281,gauss,iea_10MW,China,east_asia,0.08,935886431.9881554,1117638766.0713503,0.32134543056865655,0.16262171606849207,116563.57196060242,1.0910478616574284,0.0,360028.44917346735,0.08379952049320699,0.4228310502283105,0.056164383561643834,10.175415199999406
105,2024,40,400000.0,7678,gauss,iea_10MW,China,east_asia,0.08,1028187175.4566789,1222515343.586587,0.3347835293880825,0.1589576516559642,119854.2912305078,1.0239381693330007,0.0,361908.6946381978,0.09575315951269497,0.3879781420765027,0.06352459016393443,12.075316799997381
79,2023,41,410000.0,7627,gauss,iea_10MW,China,east_asia,0.07,1152387370.0510266,1260914056.2277098,0.36851985086711414,0.08606985197814643,133935.9304814078,1.0181287833492836,0.0,377815.0,0.1425961867793127,0.37077625570776257,0.12374429223744292,12.4666244
103,2022,41,410000.0,7892,gauss,iea_10MW,China,east_asia,0.08,1429314970.3544993,1610439149.861338,0.441730115817963,0.11246881294610463,137801.21004078118,0.8445574453458975,0.0,377815.0,0.11519579860714693,0.2756849315068493,0.16004566210045662,13.07740659999763
103,2023,41,410000.0,7604,gauss,iea_10MW,China,east_asia,0.08,1259087210.347857,1411229150.4162142,0.40385907620759837,0.10780810474577142,139743.14874249627,0.9722519400749554,0.0,377815.0,0.09886973398789817,0.3635844748858447,0.14794520547945206,11.44266620000053
103,2024,41,410000.0,7946,gauss,iea_10MW,China,east_asia,0.08,1371575000.7872782,1535841060.27395,0.4210048930240336,0.10695511647368743,141617.0824012758,0.9069605753230968,0.0,377815.0,0.10748035978595014,0.31534608378870677,0.17941712204007285,12.779633599999215
69,2023,43,430000.0,8242,gauss,iea_10MW,France,europe,0.07,1913360122.917968,2057451250.6376967,0.5398780277190477,0.07003379918482558,154483.1107288712,0.707275140615508,0.0,396245.0,0.13300605091905468,0.1978310502283105,0.30068493150684933,13.781516900002316
15,2014,44,440000.0,8130,gauss,iea_10MW,Netherlands,europe,0.06,1602891348.4927745,1941562670.2361243,0.4480854714561038,0.17443234098756238,153774.21003577914,0.8403951279542997,0.0,405460.0,0.15287133234387487,0.28264840182648404,0.18744292237442922,14.015023799998744
15,2015,44,440000.0,8322,gauss,iea_10MW,Netherlands,europe,0.06,1753117471.970177,2107266226.4318392,0.47877407964928037,0.16806075569356516,151547.4062861804,0.7572540347652893,358.24742173280623,405460.0,0.15949309281881494,0.21164383561643835,0.2264840182648402,12.553254300000845
15,2016,44,440000.0,8197,gauss,iea_10MW,Netherlands,europe,0.06,1553873061.2790236,1899620924.1184585,0.43083197324936606,0.18200887263856774,150367.24981996266,0.8500217651828998,0.0,405460.0,0.1496071957190026,0.2707194899817851,0.1736111111111111,13.66823039999872
15,2017,44,440000.0,8109,gauss,iea_10MW,Netherlands,europe,0.06,1603629105.3963764,1944239697.482811,0.4494526579323693,0.1751896088365133,152769.9140953836,0.8345224235280859,0.0,405460.0,0.17033907980363056,0.27123287671232876,0.1882420091324201,13.548722100000305
15,2018,44,440000.0,8190,gauss,iea_10MW,Netherlands,europe,0.06,1607407770.2880735,1985863209.6552901,0.4460561023110427,0.19057477752101043,148272.13306947655,0.80804877872143,0.0,405460.0,0.166114853293755,0.24292237442922374,0.17785388127853882,13.654155399999581
15,2019,44,440000.0,8245,gauss,iea_10MW,Netherlands,europe,0.06,1649272208.2312262,2011030157.656425,0.45462048851403775,0.17988688436516398,149347.46849617717,0.7932491783327814,0.0,405460.0,0.1698824066674278,0.22694063926940639,0.18938356164383563,12.659321300001466
15,2020,44,440000.0,8173,gauss,iea_10MW,Netherlands,europe,0.06,1798083616.4518995,2124016201.718204,0.5000065672035137,0.1534510824364919,157708.90491263964,0.7704397104102556,0.0,405460.0,0.15643857451895707,0.23622495446265937,0.24726775956284153,13.99988459999804
15,2021,44,440000.0,8183,gauss,iea_10MW,Netherlands,europe,0.06,1536965749.0332453,1895084464.1670904,0.4268732708145616,0.18897242941160516,149345.91539962383,0.8512032358063993,0.0,405460.0,0.1648590021691974,0.27271689497716894,0.16883561643835615,13.658755699998437
45,2018,45,450000.0,8017,gauss,iea_10MW,China,east_asia,0.1,2183193998.881391,2350209187.390832,0.6051568192261974,0.07106396715896543,163203.10779130363,0.6548475421718537,0.0,414675.0,0.06930014841876926,0.20171232876712328,0.31095890410958904,14.012990999999602
102,2014,45,450000.0,8060,gauss,iea_10MW,United Kingdom,europe,0.06,1309305549.7096128,1689594138.8048422,0.36098857174238014,0.22507688702343143,141226.03572266092,0.9448826312581441,0.0,414675.0,0.12901016097728052,0.31974885844748857,0.11495433789954337,14.018597999998747
102,2015,45,450000.0,8179,gauss,iea_10MW,United Kingdom,europe,0.06,1493709770.5554748,1897497403.0988777,0.40583873892637645,0.21280009758324908,145342.31290801745,0.8523735240754039,0.0,414675.0,0.15309966891197627,0.24920091324200913,0.14223744292237442,14.171039199998631
102,2016,45,450000.0,8124,gauss,iea_10MW,United Kingdom,europe,0.06,1288122196.0074272,1684317115.7374678,0.35235029159347536,0.23522584674119937,138714.25980610732,0.9459242779244998,0.0,414675.0,0.12991005351246726,0.32877959927140255,0.10200364298724955,14.21985819999827
102,2017,45,450000.0,8203,gauss,iea_10MW,United Kingdom,europe,0.06,1294213325.178538,1707676358.2484477,0.3506070476054934,0.24212025368436668,136187.2584808399,0.9217957821038365,0.0,414675.0,0.1464779084370362,0.3055936073059361,0.09531963470319635,14.171285699998407
102,2018,45,450000.0,7998,gauss,iea_10MW,United Kingdom,europe,0.06,1257396363.8345597,1635601642.2945025,0.34936410875901186,0.23123312466804438,140737.90016228272,0.9804895583297624,0.0,414675.0,0.13597442630437265,0.34406392694063925,0.10890410958904109,14.288419099997554
102,2019,45,450000.0,8090,gauss,iea_10MW,United Kingdom,europe,0.06,1282362534.871437,1668263687.5685277,0.3522490138364063,0.2313190388142635,139388.5853433109,0.9521831575731577,0.0,414675.0,0.14796209612969516,0.3278538812785388,0.1045662100456621,13.478133399999933
102,2020,45,450000.0,8169,gauss,iea_10MW,United Kingdom,europe,0.06,1522226109.9353552,1898211229.7707431,0.41409287412721674,0.1980733829505358,152671.29396185034,0.8809891233686991,0.0,414675.0,0.14812706364567915,0.29918032786885246,0.16120218579234974,13.573034000000916
102,2021,45,450000.0,8163,gauss,iea_10MW,United Kingdom,europe,0.06,1285230201.1878123,1652215024.352041,0.349879592521217,0.22211686599820826,140813.10037177184,0.959767952944692,0.0,414675.0,0.1501312935266583,0.3269406392694064,0.10844748858447488,15.580016999996587
102,2022,45,450000.0,8069,gauss,iea_10MW,United Kingdom,europe,0.06,1274537442.7402709,1651268231.0331812,0.3510107111552501,0.22814633093085904,138961.72258041837,0.9550952753394558,0.0,414675.0,0.15675305400159836,0.3180365296803653,0.10490867579908676,14.28161209999962
102,2023,45,450000.0,8163,gauss,iea_10MW,United Kingdom,europe,0.06,1429753165.913869,1833843681.6337314,0.3892232338094298,0.22035166888372243,143403.63613243352,0.8786242845751422,0.0,414675.0,0.1438520379038703,0.29235159817351597,0.1254566210045662,13.58224440000049
102,2024,45,450000.0,7961,gauss,iea_10MW,United Kingdom,europe,0.06,1348917739.5659373,1735653668.8453732,0.3765349801297819,0.2228186050139301,143430.22530207213,0.9340014309981696,0.0,414675.0,0.14721621313901856,0.32206284153005466,0.11316029143897996,14.36213620000126
10,2018,46,460000.0,8128,gauss,iea_10MW,United Kingdom,europe,0.06,2017102512.1131916,2199902972.9047747,0.5394937821254471,0.08309478328956092,166837.5369256582,0.7245525771209552,0.0,423890.0,0.14739125470944173,0.2219178082191781,0.28378995433789955,13.610507400000643
88,2016,46,460000.0,7763,gauss,iea_10MW,China,east_asia,0.08,1092659585.3844762,1242110009.5554178,0.30598311538694595,0.12031979697549787,131332.1385954558,1.055792234702775,0.0,422853.5097541196,0.11214846863258568,0.3831967213114754,0.06341074681238616,13.872234700000263
0,2016,47,470000.0,8057,gauss,iea_10MW,China,east_asia,0.08,1560836501.7193875,1669814020.6286066,0.41217931327572627,0.06526326738363002,152914.63525562454,0.8605655714777046,0.0,433105.0,0.11624729591255835,0.26741803278688525,0.13672586520947178,13.5399053000001
