id,lon,lat,first_year,active_2014,active_2015,active_2016,active_2017,active_2018,active_2019,active_2020,active_2021,active_2022,active_2023,active_2024
261,123.208176,39.44449,2021,False,False,False,False,False,False,False,True,True,True,True
262,123.309826,39.538383,2018,False,False,False,False,True,True,True,True,True,True,True
263,123.302551,39.549032,2018,False,False,False,False,True,True,True,True,True,True,True
264,123.301163,39.539982,2018,False,False,False,False,True,True,True,True,True,True,True
265,123.226833,39.515799,2021,False,False,False,False,False,False,False,True,True,True,True
266,123.219746,39.444517,2021,False,False,False,False,False,False,False,True,True,True,True
267,123.164959,39.458878,2020,False,False,False,False,False,False,True,True,True,True,True
268,123.173134,39.444483,2021,False,False,False,False,False,False,False,True,True,True,True
269,123.228382,39.501959,2019,False,False,False,False,False,True,False,True,True,True,True
270,123.237236,39.501904,2021,False,False,False,False,False,False,False,True,True,True,True
271,123.222771,39.458839,2020,False,False,False,False,False,False,True,True,True,True,True
272,123.178997,39.444454,2021,False,False,False,False,False,False,False,True,True,True,True
273,123.237251,39.48753,2020,False,False,False,False,False,False,True,True,True,True,True
274,123.237251,39.458817,2020,False,False,False,False,False,False,True,True,True,True,True
275,123.22567,39.444494,2020,False,False,False,False,False,False,True,True,True,True,True
276,123.237263,39.473158,2021,False,False,False,False,False,False,False,True,True,True,True
277,123.22908,39.487501,2021,False,False,False,False,False,False,False,True,True,True,True
278,123.227413,39.473213,2020,False,False,False,False,False,False,True,True,True,True,True
279,123.23325,39.515759,2021,False,False,False,False,False,False,False,True,True,True,True
280,123.1674,39.444483,2021,False,False,False,False,False,False,False,True,True,True,True
281,123.16151,39.444416,2020,False,False,False,False,False,False,True,True,True,True,True
282,123.213974,39.444443,2021,False,False,False,False,False,False,False,True,True,True,True
283,123.231522,39.444418,2020,False,False,False,False,False,False,True,True,True,True,True
284,123.168488,39.473198,2020,False,False,False,False,False,False,True,True,True,True,True
285,123.230095,39.458744,2021,False,False,False,False,False,False,False,True,True,True,True
286,123.23735,39.444326,2020,False,False,False,False,False,False,True,True,True,True,True
287,123.320721,39.469326,2019,False,False,False,False,False,True,True,True,True,True,True
288,123.303333,39.469366,2019,False,False,False,False,False,True,True,True,True,True,True
289,123.315796,39.489595,2017,False,False,False,True,True,True,True,True,True,True,True
290,123.306816,39.489658,2017,False,False,False,True,False,True,True,True,True,True,True
291,123.312561,39.479469,2019,False,False,False,False,False,True,True,True,True,True,True
292,123.30109,39.479588,2019,False,False,False,False,False,True,True,True,True,True,True
293,123.301289,39.523886,2017,False,False,False,True,True,True,True,True,True,True,True
294,123.309643,39.529568,2018,False,False,False,False,True,True,True,True,True,True,True
295,123.304722,39.354317,2021,False,False,False,False,False,False,False,True,True,True,True
296,123.311436,39.354277,2020,False,False,False,False,False,False,True,True,True,True,True
297,123.308563,39.374292,2021,False,False,False,False,False,False,False,True,True,True,True
298,123.310478,39.395967,2024,False,False,False,False,False,False,False,False,False,False,True
