farm_id,year,n_turb,stage,sx_D,sy_D,AEP_kWh,AEP_noWake_kWh,CF,WakeLoss,precompute_time_s
14,2024,181,coarse,5.0,10.0,5245641062.643471,5848491279.240804,0.38854326766385305,0.10307790296912084,67.51068459999806
14,2024,181,coarse,5.0,11.0,5305210529.910691,5848491279.240804,0.3929555625937957,0.09289246121619182,67.35098260000086
14,2024,181,coarse,5.0,12.0,5280686618.872948,5848491279.240804,0.39113908288870114,0.0970856641922809,67.53611459999956
14,2024,181,coarse,6.0,3.0,4285805207.5262585,5848491279.240804,0.317448475794843,0.26719473400965704,67.37414599999829
14,2024,181,coarse,6.0,4.0,4597978209.287047,5848491279.240804,0.3405710487524839,0.21381806182945803,67.27451370000199
14,2024,181,coarse,6.0,5.0,4761381484.902269,5848491279.240804,0.3526742868307906,0.1858786723675602,67.28241739999794
14,2024,181,coarse,6.0,6.0,4978131022.81728,5848491279.240804,0.3687288686674839,0.1488179112984,67.19691849999799
14,2024,181,coarse,6.0,7.0,5049996859.291045,5848491279.240804,0.3740519524628592,0.13652998385823217,67.97544310000012
14,2024,181,coarse,6.0,8.0,5145045100.447668,5848491279.240804,0.38109215093692056,0.12027822992401734,67.51891260000048
14,2024,181,coarse,6.0,9.0,5225779418.688279,5848491279.240804,0.38707212086761433,0.10647393162110677,67.9656991999982
14,2024,181,coarse,6.0,10.0,5224052515.832699,5848491279.240804,0.3869442096227479,0.10676920484169101,67.1751030000014
14,2024,181,coarse,6.0,11.0,5284141064.004696,5848491279.240804,0.39139495274015046,0.09649500842025133,67.84685259999969
14,2024,181,coarse,6.0,12.0,5383896020.281869,5848491279.240804,0.39878377637766893,0.07943848024669435,67.80554190000112
14,2024,181,coarse,7.0,3.0,4313742420.800031,5848491279.240804,0.3195177779078136,0.26241791004944437,67.2017300999978
14,2024,181,coarse,7.0,4.0,4629339588.479018,5848491279.240804,0.34289397794344023,0.20845575936637872,67.35597410000264
14,2024,181,coarse,7.0,5.0,4910997545.01627,5848491279.240804,0.3637563094468005,0.16029667985522425,68.84037739999985
14,2024,181,coarse,7.0,6.0,4976815845.021705,5848491279.240804,0.36863145379060813,0.1490427860110021,72.53277909999815
14,2024,181,coarse,7.0,7.0,5135606867.480986,5848491279.240804,0.38039306347858054,0.12189201927857847,72.56166570000278
