farm_id,year,country,P00_kWh,P10_kWh,P01_kWh,P11_kWh,AEP_kWh,AEP_noWake_kWh,CF,WakeLoss,P11_err_pct
109,2019,China,1083694406.6,936640725.3,1059472494.3,933302343.4930732,933302343.4930732,1061018339.1058646,0.3068922652337851,0.1203711480806443,0.0
45,2019,China,2824635905.1,2898979548.4,2916394876.6,2857165613.302165,2857165613.302165,3076499567.2580748,0.6323611162069751,0.0712933478977833,0.0
88,2019,China,1322547818.6,1144075175.0,1338173722.5,1155815173.3106475,1155815173.3106475,1337340913.5220983,0.2806841369429794,0.135736324504852,0.0
89,2019,China,1632150040.1,1410198485.7,1599211942.4,1397990297.6248205,1397990297.6248205,1655301624.609336,0.3186411609798216,0.1554467917865077,0.0
74,2019,China,2030662906.5,1864769370.0,2016949510.3,1869398251.6610312,1869398251.6610312,2077316450.525754,0.3871544004135873,0.1000898051965554,0.0
38,2019,China,1938269243.6,1668715865.2,1886680501.1,1634770458.994826,1634770458.994826,1956293664.336206,0.325702741864721,0.1643532416440537,0.0
63,2019,China,1647745939.0,1688580562.3,1674006580.6,1627568556.380287,1627568556.380287,1942684423.0201075,0.3186499904810946,0.1622064103185321,0.0
14,2019,China,1815739945.2,1764850924.4,1771028813.9,1732286147.8325033,1732286147.8325033,2062675023.821839,0.351362246528032,0.1601749534820918,0.0
57,2019,Vietnam,582535891.6,798860328.2,554934613.9,739031770.1096858,739031770.1096858,1405694510.872923,0.1374666616028194,0.4742586213481375,0.0
19,2019,China,2327189794.2,2080517708.4,2334752818.4,2121807531.164114,2121807531.164114,2554760286.338856,0.2893331821306391,0.1694690329616765,0.0
50,2019,China,2611387635.1,2303955272.7,2598615824.2,2285698164.1632166,2285698164.1632166,2630804557.5474787,0.3029421026061255,0.1311790312945107,0.0
24,2019,China,3676732586.9,3063372426.3,3556996315.5,3076382545.40294,3076382545.40294,3938346805.347056,0.2473708094840708,0.218864488717407,0.0
1,2019,China,9512983292.0,8484295358.3,9340372570.7,8412105963.773713,8412105963.773713,9929445686.788252,0.3261106585039382,0.1528121277740059,0.0
0,2019,China,13509728395.4,11646091339.8,13191257601.4,11603517523.227743,11603517523.227743,13212426536.858805,0.3307677392615096,0.1217724094164438,0.0
46,2020,China,113370370.9,120226887.1,117253221.6,119874506.55388656,119874506.55388656,120342358.5095158,0.710830802620295,0.0038876748089681,0.0
112,2020,Vietnam,35698251.0,40519773.6,35535419.5,40214541.41342624,40214541.41342624,40848205.67468024,0.2671352558351683,0.0155126584090517,0.0
130,2020,Vietnam,31081638.7,35031373.4,28934289.9,34480668.867593706,34480668.867593706,35449288.491810136,0.2323808388434675,0.0273240921165515,0.0
39,2020,Taiwan,113285564.5,117035493.3,109865355.2,113442335.50147092,113442335.50147092,118065080.04165758,0.4978816567982046,0.0391542066337954,0.0
66,2020,China,95421979.8,88249005.8,89388363.9,83013123.68736142,83013123.68736142,90757968.8420157,0.3482824572576523,0.0853351529730231,0.0
111,2020,China,84750266.2,87333177.3,88290466.6,88038140.1885492,88038140.1885492,89594731.09999202,0.3667339006437941,0.0173736880766524,0.0
115,2020,Vietnam,61000391.5,65578164.9,61307035.9,64848168.25695918,64848168.25695918,66127134.73382943,0.288060448902626,0.0193410236511571,0.0
135,2020,Japan,53553584.9,62078914.2,54954723.4,60702367.33173433,60702367.33173433,63004904.21103071,0.2929085472482838,0.036545359573664,0.0
168,2020,China,56191029.0,55194133.8,57484167.6,53460953.92757921,53460953.92757921,57390226.00875496,0.2434469668833297,0.0684658757150795,0.0
169,2020,China,79279938.1,69229494.0,80576475.9,68136845.36453114,68136845.36453114,72168009.13030232,0.3027093401063181,0.0558580431184231,0.0
165,2020,China,80060646.2,78216232.3,81588321.0,75427794.41335353,75427794.41335353,84317414.56609021,0.2508907477825756,0.1054304166996102,0.0
107,2020,Vietnam,183353012.8,206146624.5,170058632.5,203417013.6710995,203417013.6710995,217209011.3715169,0.2505413329939273,0.0634964342102151,0.0
147,2020,China,293188439.7,276342398.3,294307819.4,266263039.8688897,266263039.8688897,285357184.36195856,0.2937329448734552,0.0669131374272642,0.0
52,2020,China,653746016.5,699810783.2,655527143.0,697370613.143474,697370613.143474,723707969.6018865,0.641519891398335,0.0363922432316183,0.0
101,2020,China,748371620.3,769457203.6,729852268.4,771059444.9900321,771059444.9900321,793911564.2513982,0.6216466682710784,0.0287842126130434,0.0
124,2020,China,798388450.0,807160380.9,780474693.7,806794689.8192734,806794689.8192734,856156368.7013631,0.5799646971262326,0.0576549806631265,0.0
139,2020,South Korea,488239043.5,527092288.5,483740757.4,513757383.7378369,513757383.7378369,594148417.2468349,0.3429164221985295,0.1353046329425802,0.0
71,2020,Taiwan,805657630.7,861380438.9,739348022.0,853384768.2850002,853384768.2850002,938440640.827919,0.5377820149761164,0.0906353250727505,0.0
78,2020,China,646470958.2,636381788.1,627606576.8,617446694.8374237,617446694.8374237,688301029.6377584,0.3427517401841991,0.1029409106617553,0.0
131,2020,China,653404763.8,588128979.8,662623251.7,568432117.4629868,568432117.4629868,655129199.6846999,0.2988994964969038,0.1323358541543234,0.0
98,2020,China,524054040.5,443847170.1,540716645.1,445317786.9598751,445317786.9598751,513793480.2644087,0.2266802002320542,0.1332747415737828,0.0
97,2020,China,709026334.6,832750744.5,736083986.2,782785114.8320268,782785114.8320268,989404760.7810748,0.2990891571745803,0.20883227384709,0.0
91,2020,China,781206665.6,861918569.5,829574772.7,887638372.1403155,887638372.1403155,1011037989.3738222,0.3290108499723175,0.1220524040940669,0.0
72,2020,China,1140871682.7,1302029018.2,1154569488.3,1268757698.4993465,1268757698.4993465,1432125642.8450303,0.4257461875182365,0.1140737512535148,0.0
109,2020,China,1063172503.7,1011886360.3,1061115912.1,1006057205.3219564,1006057205.3219564,1140093036.633059,0.3355112104135812,0.1175656959601643,0.0
34,2020,China,2499821821.8,2544945599.7,2520772627.4,2565877730.2728205,2565877730.2728205,2696626367.293535,0.6572735756958109,0.0484860040703156,0.0
4,2020,China,1509798095.0,1740751261.5,1646649930.6,1655066991.756625,1655066991.756625,1930101384.8616989,0.3979923222469003,0.1424973813615399,0.0
81,2020,China,2429221179.1,2523733289.6,2359990863.3,2522074707.534705,2522074707.534705,2752226756.071513,0.5865453704602699,0.0836239412428805,0.0
3,2020,China,1690142929.7,1638620583.0,1701959694.8,1609311141.7701092,1609311141.7701092,1738284613.7258492,0.38360224199933,0.0741958313025031,0.0
92,2020,China,1772677517.4,1750348747.1,1727289224.2,1657568582.1491845,1657568582.1491845,1968113566.37351,0.3776075099550271,0.1577881426814931,0.0
88,2020,China,1330596842.4,1135838935.7,1353698194.0,1133674378.8968928,1133674378.8968928,1323080167.388876,0.2747202643541112,0.1431551867834124,0.0
89,2020,China,1664040270.1,1624397453.8,1634722239.4,1603835561.2808454,1603835561.2808454,1889633763.562601,0.3595197456385482,0.15124528773392,0.0
74,2020,China,2139870117.5,2203868233.5,2197288110.3,2234931848.279503,2234931848.279503,2455243765.2727704,0.4395474683023516,0.0897311786753652,0.0
45,2020,China,3419716212.6,3547358897.8,3448368186.8,3510380209.709584,3510380209.709584,3786751920.02922,0.6403512994822261,0.0729838437151971,0.0
57,2020,Vietnam,544989688.7,707192064.9,508477628.2,635762071.237454,635762071.237454,1205275808.7215447,0.1260202483364362,0.4725173552501506,0.0
38,2020,China,2235172769.2,2188435195.3,2202561211.2,2157376405.403226,2157376405.403226,2521988167.9124,0.3745757294710715,0.1445731455635592,0.0
14,2020,China,2016820005.6,1918261651.1,1961324202.2,1878862506.4523096,1878862506.4523096,2250944222.591667,0.341169705118521,0.1653002826124914,0.0
63,2020,China,1896166272.2,1776104860.1,1923905102.8,1711970477.0390625,1711970477.0390625,2096189405.3254008,0.2876656966249212,0.1832939940017942,0.0
32,2020,China,2320813061.1,2713941845.6,2565671782.9,2742935396.1863365,2742935396.1863365,3055322697.500307,0.3755449700962141,0.1022436358586764,0.0
50,2020,China,2633040334.0,2295171900.5,2662149700.3,2276620924.76345,2276620924.76345,2620516798.7388,0.2992797324521428,0.1312320814508265,0.0
24,2020,China,3601628644.5,3223465090.4,3569873477.3,3242368338.230185,3242368338.230185,4137039443.143564,0.2647021449892062,0.2162587805142017,0.0
19,2020,China,4046763725.2,3601699778.1,4051015980.3,3627509602.310236,3627509602.310236,4360794551.282408,0.2911389342866642,0.1681539775260749,0.0
1,2020,China,13096311014.1,12034794029.0,13114150503.1,12000421488.633003,12000421488.633003,13965344406.158916,0.3386563010050121,0.1406999254998217,0.0
0,2020,China,18933111407.4,17601064650.5,18919480992.2,17538841844.762356,17538841844.762356,20050021191.1696,0.3530643407590248,0.125245720314411,0.0
21,2021,China,125374159.8,122165186.2,136981495.4,121095541.70455515,121095541.70455515,122705911.0074786,0.499445441328694,0.0131238119639184,0.0
135,2021,Japan,53897856.0,65517311.9,55712794.8,64534259.17548349,64534259.17548349,66469258.34317612,0.3098735195211922,0.0291111893817494,0.0
168,2021,China,56564903.0,62920183.5,56341581.0,60607297.329537295,60607297.329537295,65226828.97487368,0.2752000060370398,0.0708225697606103,0.0
