farm_id,n_turb,cent_lon,cent_lat,pc1_angle,axis_bearing,pc1_share,aspect_ratio,nn_mean_m,nn_med_m,spacing_D_mean,spacing_D_med,ce_r,n_comp,layout_type,last_year,country
128,27,-1.0946,54.645571,152.64,117.36,0.8227,2.154,337.4,337.0,1.704,1.702,1.98,1,rule_grid,2024,United Kingdom
129,22,1.747461,54.7308425,154.35,115.65,0.9313,3.683,1920.5,1434.5,9.699,7.245,1.46,2,multi_cluster,2024,United Kingdom
130,26,105.7125645,9.1405785,24.89,65.11,0.7207,1.606,296.6,296.8,1.498,1.499,0.837,2,multi_cluster,2024,Vietnam
131,25,120.196163,34.403385,145.16,124.84,0.8128,2.084,694.9,699.7,3.51,3.534,1.745,1,cluster,2024,China
132,24,118.040697,38.6674225,170.99,99.01,0.9178,3.342,684.8,663.8,3.459,3.353,2.024,1,belt,2024,China
133,24,105.15375900000001,8.6708005,56.55,33.45,0.777,1.867,376.1,376.3,1.9,1.9,1.055,3,multi_cluster,2024,Vietnam
134,24,5.5727744999999995,52.605609,22.57,67.43,0.9464,4.203,688.3,694.5,3.476,3.507,2.066,1,belt,2024,Netherlands
135,23,139.9785,40.200743,78.95,11.05,0.895,2.92,435.8,407.7,2.201,2.059,1.509,1,belt,2024,Japan
136,21,8.025753,56.593204,90.43,179.57,1.0,2315.856,706.4,706.9,3.568,3.57,25.225,1,belt,2024,Denmark
137,21,12.642478,54.61125,49.41,40.59,0.9111,3.201,608.0,597.0,3.071,3.015,2.202,1,belt,2024,Germany
138,10,-71.02661499999999,41.136463,158.46,111.54,0.8935,2.897,2082.9,1856.7,10.52,9.377,1.431,3,multi_cluster,2024,United States of America
139,20,126.3176345,35.481781999999995,29.03,60.97,0.6639,1.406,794.0,794.0,4.01,4.01,2.592,1,rule_grid,2024,South Korea
140,20,7.953638,56.079059,90.12,179.88,1.0,1922.483,679.8,679.9,3.433,3.434,23.054,1,belt,2024,Denmark
141,18,106.59461,9.746617,151.85,118.15,0.9549,4.604,350.9,348.3,1.772,1.759,1.256,2,multi_cluster,2024,Vietnam
142,18,8.1672975,53.835742,116.79,153.21,0.6645,1.407,473.7,474.1,2.392,2.394,2.208,1,rule_grid,2024,Germany
143,16,104.930775,8.549771,90.02,179.98,1.0,894.582,385.4,384.9,1.946,1.944,17.706,1,belt,2024,Vietnam
144,16,17.013167,56.9842805,120.13,149.87,0.9621,5.037,367.4,358.7,1.856,1.812,1.689,1,belt,2024,Sweden
