turbine_id,lon,lat,depth_m,foundation,build_year,active_2024Q4
285,123.23009490966797,39.45874404907226,-16.0,fixed,2021,True
286,123.23735046386717,39.444326400756836,-17.0,fixed,2020,True
287,123.32072067260741,39.46932601928711,-18.0,fixed,2019,True
288,123.3033332824707,39.4693660736084,-18.0,fixed,2019,True
289,123.3157958984375,39.489595413208015,-16.0,fixed,2017,True
290,123.30681610107423,39.48965835571289,-16.0,fixed,2017,True
291,123.31256103515626,39.479469299316406,-17.0,fixed,2019,True
292,123.30109024047853,39.47958755493164,-16.0,fixed,2019,True
293,123.30128860473631,39.52388572692871,-14.0,fixed,2017,True
294,123.30964279174805,39.52956771850586,-13.0,fixed,2018,True
295,123.30472183227539,39.35431671142578,-27.0,fixed,2021,True
296,123.31143569946289,39.35427665710449,-26.0,fixed,2020,True
297,123.30856323242186,39.37429237365723,-26.0,fixed,2021,True
298,123.31047821044922,39.39596748352051,-23.0,fixed,2024,True
299,123.31050491333009,39.41005325317383,-22.0,fixed,,False
300,123.31408309936522,39.4197998046875,-22.0,fixed,,False
301,123.31652450561523,39.43069076538086,-21.0,fixed,,False
302,123.3102684020996,39.547061920166016,-12.0,fixed,2017,True
303,123.32944488525392,39.469369888305664,-19.0,fixed,2019,True
304,123.33321762084961,39.4893684387207,-18.0,fixed,2018,True
305,123.32881164550781,39.47942352294922,-18.0,fixed,2018,True
306,123.32447052001953,39.48971939086914,-17.0,fixed,2017,True
307,123.31975936889648,39.530344009399414,-13.0,fixed,2018,True
308,123.32451629638673,39.51555633544922,-15.0,fixed,2017,True
309,123.35925674438478,39.469585418701165,-20.0,fixed,2017,True
310,123.33951187133789,39.441850662231445,-21.0,fixed,2024,True
311,123.35802459716798,39.50105667114258,-18.0,fixed,2017,True
312,123.36312103271483,39.51469612121582,-17.0,fixed,2018,True
313,123.35541152954103,39.490230560302734,-19.0,fixed,2019,True
314,123.34344482421875,39.479421615600586,-18.0,fixed,2019,True
