farm_id,angle_deg,n_turb,country,AEP_kWh,AEP_noWake_kWh,CF,WakeLoss,precompute_s
144,150,16,Sweden,860780839.1429648,904425963.7302856,0.6141415804387592,0.04825726630768915,0.6714621999999508
144,160,16,Sweden,861339371.6825478,904425963.7302856,0.6145400768283018,0.04763971156912403,0.6857960999986972
144,170,16,Sweden,860780839.1429638,904425963.7302856,0.6141415804387584,0.04825726630769034,0.6750392000030843
147,0,12,China,665504151.4604162,678319472.7977142,0.6330899462142467,0.01889275164759979,0.5367479999986244
147,10,12,China,663052740.7654446,678319472.7977142,0.630757934518117,0.02250669875258377,0.5461340000038035
147,20,12,China,665504151.4604161,678319472.7977142,0.6330899462142466,0.018892751647599966,0.5628026000049431
147,40,12,China,665504151.4604163,678319472.7977142,0.6330899462142469,0.018892751647599612,0.560930699997698
147,50,12,China,663052740.7654446,678319472.7977142,0.630757934518117,0.02250669875258377,0.5501137000028393
147,60,12,China,665504151.4604161,678319472.7977142,0.6330899462142466,0.018892751647599966,0.5341518000059295
147,70,12,China,663052740.7654444,678319472.7977142,0.6307579345181168,0.022506698752584126,0.5536041000013938
147,80,12,China,665504151.4604161,678319472.7977142,0.6330899462142466,0.018892751647599966,0.5390523999958532
147,90,12,China,663052740.7654443,678319472.7977142,0.6307579345181167,0.0225066987525843,0.5472824999960721
147,100,12,China,665504151.4604162,678319472.7977142,0.6330899462142467,0.01889275164759979,0.5460565000030329
147,110,12,China,663052740.7654448,678319472.7977142,0.6307579345181171,0.022506698752583598,0.5288663000028464
147,120,12,China,665504151.4604161,678319472.7977142,0.6330899462142466,0.018892751647599966,0.5491935000027297
147,130,12,China,663052740.7654446,678319472.7977142,0.630757934518117,0.02250669875258377,0.5332393000062439
147,140,12,China,665504151.4604162,678319472.7977142,0.6330899462142467,0.01889275164759979,0.5526640000025509
147,150,12,China,663052740.7654444,678319472.7977142,0.6307579345181168,0.022506698752584126,0.535225999999966
147,160,12,China,665504151.4604162,678319472.7977142,0.6330899462142467,0.01889275164759979,0.5428108999985852
147,170,12,China,663052740.7654446,678319472.7977142,0.630757934518117,0.02250669875258377,0.5537196000004769
148,0,11,Finland,598359741.9224741,621792850.0645714,0.6209627873832235,0.037686358309948036,0.4949957999997423
148,10,11,Finland,598186081.0356302,621792850.0645714,0.6207825664545769,0.03796564889173245,0.5181114999941201
148,20,11,Finland,598359741.9224734,621792850.0645714,0.6209627873832227,0.03768635830994919,0.4966213000006974
148,30,11,Finland,598186081.0356308,621792850.0645714,0.6207825664545774,0.03796564889173149,0.5090799000026891
148,40,11,Finland,598359741.9224753,621792850.0645714,0.6209627873832247,0.03768635830994612,0.4969483999957447
148,50,11,Finland,598186081.0356307,621792850.0645714,0.6207825664545773,0.03796564889173168,0.5082747000051313
148,60,11,Finland,598359741.9224739,621792850.0645714,0.6209627873832232,0.037686358309948424,0.48907409999810625
148,80,11,Finland,598359741.9224751,621792850.0645714,0.6209627873832245,0.0376863583099465,0.5124466999986907
